eng_input,eng_label,match_using_label,match_using_sentence,heb_input,heb_label
I fixed parts that were not,Clear,0,1,תיקנתי חלקים שלא היו,ברורים
Similar letters were also received,The Doctors,1,1,מכתבים דומים קיבלו גם,הרופאים
I'm new here actually,Less,1,1,אני חדש כאן למעשה,פחות
He was among the winners of the contest.,Rubinstein,0,1,היה בין הזוכים בתחרות,רובינשטיין
Orit Fox is not standing.,In the Head,1,1,אורית פוקס לא עומדת,בראש
None of them as,Apparently,0,1,אף אחד מהם כפי,הנראה
During World War II,Slave,1,1,במהלך מלחמת העולם השנייה,עבד
This is one term that has,Lou.,1,1,מדובר במונח אחד שיש,לו
In recent years the editor,Main,0,1,המצב בשנים האחרונות העורך,הראשי
How would you like to have a plan,The Work,1,1,איך תרצה שיהיה תוכנית,העבודה
Wherever it says,Who?,1,1,בכל מקום שבו כתוב,מי
I like pictures of,Plants,1,1,אני אוהב תמונות של,צמחים
"In other words, it is actually",The disc,1,1,במילים אחרות זהו בעצם,הדיסק
It takes a little bit of proportion in everything.,Talk,1,1,צריך קצת פרופורציה בכל,דבר
There are cases where she,Suitable,0,1,יש מקרים שבהם היא,מתאימה
Among the attackers the book,There was,1,1,בין התוקפים את הספר,היה
Prof. Fisher has published articles,Many,1,1,פרופ פישר פרסם מאמרים,רבים
This collection is called Language,The Machine,1,1,אוסף זה נקרא שפת,המכונה
Here the computer plays a role,Similar,1,1,פה המחשב משחק תפקיד,דומה
I don't think there is,Detail,1,1,אני לא חושב שיש,פרט
They mainly use,Or,1,1,ב ת משתמשים בעיקר,או
This pattern should pass,Change,1,1,התבנית הזאת צריכה לעבור,שינוי
After completing his police service,Settled,1,1,לאחר סיום שירותו במשטרה,התיישב
Accepting a new policy No,Requires,0,1,קבלת מדיניות חדשה לא,דורשת
But this bill,Don't,0,1,אך הצעת חוק זו,לא
This was the case in Eastern communities.,Turkey,1,1,כך היה בקהילות המזרח,טורקיה
You can see the continuation.,The Discussion,1,1,תוכל לראות את המשך,הדיון
People who have become famous in the scientific world,Or,1,1,אנשים שהתפרסמו בעולם המדעי,או
So thank you again.,Eran,0,1,אז שוב תודה רבה,ערן
A year and a half and I,Remover,1,1,אמרו שנה וחצי ואני,מסיר
As well as offences of,Parking,1,1,כך גם עבירות של,חניה
After the outbreak of the World War,The first,0,1,לאחר פרוץ מלחמת העולם,הראשונה
A second passover is a sacrifice,Passover,1,1,פסח שני הוא קורבן,פסח
"As for the picture, I still",Think,0,1,ולגבי התמונה אני עדיין,חושב
In the eyes of a considerable percentage,It's,1,1,הרי בעיני אחוז ניכר,זה
She loves chemistry.,And history,1,1,היא מאוד אוהבת כימיה,והיסטוריה
Constantly managing games,Puzzles,0,1,מנהל באופן תדיר משחקי,חידות
Said Louis the Sun,The State,1,1,אמר כבר לואי השמש,המדינה
Sharing in the deepest sense,of,1,1,שיתוף במובן הכי עמוק,של
Why narrow stripes were chosen,And what,1,1,מדוע נבחרו פסים צרים,ומה
"Later, the lowland area was seized.",Part,1,1,בהמשך תפס אזור השפלה,חלק
You're a very smart man.,and full,1,1,אתה אדם מאוד חכם,ומלא
I'm asking for the requirements exam,of,1,1,אני שואל בחינת הדרישות,של
In the pillar no,I was,1,1,ב עמוד התווך לא,הייתי
He is a teaching assistant in the course,In question,0,1,הוא עוזר הוראה בקורס,המדובר
It was also used,In Agriculture,1,1,נעשה בו שימוש גם,בחקלאות
Everyone had to,Find,0,1,כל אחד היה צריך,למצוא
In any case if you,Interested,1,1,בכל מקרה אם אתה,מעוניין
Do you deny having been committed,Name,1,1,האם אתה מכחיש שבוצע,שם
